k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.6434797346375478,0.6114567125508281,0.5674723982994638,0.5074767923125434,846.1294169425964,3937.984375
5,0.6582005714009007,0.5997539230632286,0.6105271689619249,0.5530138731488047,721.7886505126953,3945.8359375
10,0.6440366083966879,0.6070103595736708,0.5981409184037657,0.5315772584570294,842.5930418968201,3956.55078125
20,0.6599922521911772,0.6001318865441173,0.616162718851528,0.5494374990585114,613.9568667411804,3956.55078125
50,0.799089632463319,0.7811606963820714,0.6313543404003453,0.6263891100035596,548.5164053440094,3956.55078125
100,0.8109292528206866,0.794611104905785,0.6425736775982835,0.6402749390838233,683.2199785709381,3976.26171875
200,0.6384194470001453,0.5830694171332955,0.5850324969057825,0.5085496243768068,651.2028901576996,4027.98046875
500,0.6261440123964941,0.5909789822396854,0.568414382992362,0.47987447849553244,1045.3993635177612,4160.4140625
1000,0.6321243523316062,0.5931071608254596,0.5698061678026072,0.48710847402630836,2420.0850505828857,4397.6875
